City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,port blair,11.6667,92.75,27.02,89,75,2.57,IN,1690102967
141,hawaiian paradise park,19.5933,-154.9731,23.91,97,100,2.06,US,1690102534
142,georgetown,5.4112,100.3354,31.97,82,20,5.14,MY,1690102536
143,ribeira grande,38.5167,-28.7,22.22,83,40,1.54,PT,1690102525
144,port mathurin,-19.6833,63.4167,23.28,67,6,7.86,MU,1690102519
145,aasiaat,68.7098,-52.8699,3.77,99,100,3.64,GL,1690102562
146,lago da pedra,-4.3333,-45.1667,19.31,69,41,1.51,BR,1690102971
147,tofol,5.3248,163.0078,28.91,77,20,6.11,FM,1690102972
148,kambove,-10.8764,26.5969,23.55,36,1,4.61,CD,1690102972
149,korla,41.7597,86.1469,36.5,16,99,5.54,CN,1690102555
150,azul,-36.777,-59.8585,5.91,93,0,3.57,AR,1690102974
151,el bayadh,33.6832,1.0193,32.31,11,0,7.3,DZ,1690102974
152,carnarvon,-24.8667,113.6333,23.57,28,0,3.57,AU,1690102524
153,margate,51.3813,1.3862,20.39,74,82,6.26,GB,1690102975
154,port alfred,-33.5906,26.891,17.32,70,12,2.24,ZA,1690102513
155,sungai raya,0.7,108.9,29.77,72,93,4.93,ID,1690102977
156,quellon,-43.1167,-73.6167,0.14,100,20,0.0,CL,1690102531
157,iquique,-20.2208,-70.1431,18.02,79,64,0.54,CL,1690102946
158,tsiombe,-25.3,45.4833,27.47,43,0,1.09,MG,1690102980
159,talnakh,69.4865,88.3972,22.49,63,58,1.56,RU,1690102552
160,ondjiva,-17.0667,15.7333,26.18,24,3,4.62,AO,1690102984
161,lihue,21.9789,-159.3672,26.77,85,100,6.69,US,1690102524
162,ulsteinvik,62.3432,5.8487,17.5,75,89,0.89,NO,1690102986
163,port lincoln,-34.7333,135.8667,12.59,71,100,4.0,AU,1690102525
164,newman,37.3138,-121.0208,27.99,71,84,1.93,US,1690102559
165,marquette,46.5333,-87.6335,14.09,94,14,0.89,US,1690102988
166,mazamari,-11.3258,-74.5308,21.97,74,88,0.7,PE,1690102989
167,howrah,22.5892,88.3103,32.0,79,75,3.09,IN,1690102526
168,la passe,45.5549,-0.8967,22.13,66,100,4.99,FR,1690102530
169,elk city,35.412,-99.4043,20.12,88,0,4.12,US,1690102832
170,karkira,36.9292,6.5856,39.59,26,0,2.17,DZ,1690102991
171,maumere,-8.6199,122.2111,26.35,65,74,0.51,ID,1690102992
172,tateyama,34.9833,139.8667,25.25,77,76,3.19,JP,1690102993
173,vrangel',42.7297,133.0839,19.47,99,100,4.26,RU,1690102994
174,anadyr,64.75,177.4833,12.28,87,40,4.0,RU,1690102529
175,khorugh,37.4897,71.553,29.53,13,0,2.87,TJ,1690102702
176,ebon,4.582,168.6964,28.71,78,100,8.09,MH,1690102995
177,seminole,28.7086,-81.2081,25.79,91,0,2.06,US,1690102994
178,oranjemund,-28.55,16.4333,13.37,48,100,3.21,NA,1690102532
179,derzhavinsk,51.1,66.3167,28.72,32,0,8.39,KZ,1690102570
180,valparaiso,-33.0393,-71.6273,10.8,81,0,2.06,CL,1690102770
181,fort bragg,35.139,-79.006,21.75,96,0,0.0,US,1690102998
182,manacapuru,-3.2997,-60.6206,24.67,60,100,1.96,BR,1690102825
183,tazovsky,67.4667,78.7,18.83,69,100,1.72,RU,1690102547
184,tura,25.5198,90.2201,30.24,75,95,1.43,IN,1690102521
185,oodweyne,9.4092,45.064,28.32,42,100,12.43,SO,1690103001
186,vershino-darasunskiy,52.35,115.5167,19.57,50,100,1.95,RU,1690103002
187,catriel,-37.8791,-67.7956,7.87,56,65,6.76,AR,1690103002
188,polyarnyy,69.1989,33.4478,11.02,73,94,7.3,RU,1690102542
189,port arthur,38.8,121.2667,29.12,82,0,2.01,CN,1690103004
190,howard springs,-12.497,131.047,26.95,26,61,4.01,AU,1690103004
191,udachny,66.4167,112.4,30.25,26,61,7.01,RU,1690102512
192,kodinsk,58.6881,99.1844,32.16,24,65,1.13,RU,1690103006
193,hammerfest,70.6634,23.6821,14.25,58,0,3.09,NO,1690102541
194,yung shue wan,22.2333,114.1167,32.67,71,100,3.67,HK,1690103007
195,oamaru,-45.0784,170.9801,9.65,96,100,4.58,NZ,1690102542
196,mabaruma,8.2,-59.7833,22.23,99,95,0.69,GY,1690103008
197,bani mazar,28.5036,30.8004,38.72,20,0,6.2,EG,1690102998
198,vilyuchinsk,52.9306,158.4028,22.15,83,97,4.55,RU,1690102558
199,pisco,-13.7,-76.2167,20.03,73,100,0.0,PE,1690102563
200,luderitz,-26.6481,15.1594,14.98,44,94,4.08,NA,1690102535
201,niquelandia,-14.4739,-48.4597,17.3,61,0,1.99,BR,1690103011
202,mazar-e sharif,36.709,67.1109,40.55,11,0,5.41,AF,1690103012
203,emerald,-23.5333,148.1667,14.08,45,95,6.58,AU,1690103013
204,okhotsk,59.3833,143.3,16.5,78,25,4.97,RU,1690102521
205,mhamid,29.82,-5.72,39.71,7,0,5.0,MA,1690103014
206,pontes e lacerda,-15.2261,-59.3353,16.76,58,0,0.78,BR,1690102945
207,namibe,-15.1961,12.1522,23.25,54,64,4.46,AO,1690102534
208,kristiansund,63.1115,7.732,17.03,72,100,2.06,NO,1690102990
209,antsiranana,-12.2787,49.2917,28.42,44,40,8.23,MG,1690102548
210,constantia,44.1833,28.65,24.38,64,28,6.24,RO,1690102528
211,karratha,-20.7377,116.8463,23.78,24,0,7.48,AU,1690102487
212,baruun-urt,46.6806,113.2792,24.4,34,9,4.9,MN,1690103018
213,sampit,-2.5333,112.95,28.98,71,54,2.27,ID,1690103018
214,kone,-21.0595,164.8658,17.2,64,1,1.25,NC,1690103019
215,kokpekty,48.75,82.4,32.17,13,74,3.78,KZ,1690103019
216,bamboo flat,11.7,92.7167,27.05,89,75,2.57,IN,1690102559
217,pudozh,61.8099,36.5345,13.81,92,100,3.61,RU,1690103021
218,tonala,20.6167,-103.2333,16.78,93,100,0.84,MX,1690102561
219,thompson,55.7435,-97.8558,11.09,82,75,1.54,CA,1690102517
220,gizo,-8.103,156.8419,26.04,80,100,5.94,SB,1690103023
221,al muwayh,22.4333,41.7583,40.42,8,90,4.2,SA,1690103023
222,hasaki,35.7333,140.8333,28.5,75,52,3.77,JP,1690102539
223,kailua-kona,19.6406,-155.9956,26.98,85,40,3.6,US,1690102470
224,pagar alam,-4.0167,103.2667,24.45,93,78,0.23,ID,1690103025
225,zeralda,36.7117,2.8424,39.94,56,12,0.29,DZ,1690103026
226,rundu,-17.9333,19.7667,25.87,22,0,4.73,NA,1690103026
227,correntina,-13.3433,-44.6367,17.11,80,41,2.15,BR,1690103027
228,port macquarie,-31.4333,152.9167,12.16,79,7,4.04,AU,1690103027
229,dobrinka,52.1653,40.4731,19.27,65,100,2.34,RU,1690103028
230,byron bay,-28.65,153.6167,15.78,76,92,5.22,AU,1690102951
231,janauba,-15.8025,-43.3089,16.63,89,0,2.16,BR,1690103030
232,inderbor,48.55,51.7833,30.96,28,0,3.12,KZ,1690102567
233,znamenskoye,57.1281,73.8282,25.84,47,77,2.59,RU,1690103031
234,chambas,22.1928,-78.9136,23.07,95,53,1.28,CU,1690103031
235,butia,-30.1197,-51.9622,15.94,90,78,1.25,BR,1690103032
236,basco,20.4487,121.9702,29.23,79,25,6.71,PH,1690103033
237,lompoc,34.6391,-120.4579,13.85,100,100,1.54,US,1690102315
238,kavieng,-2.5744,150.7967,27.69,78,100,3.03,PG,1690102564
239,soio,-6.1349,12.3689,24.04,71,35,3.41,AO,1690102528
240,mana,5.6592,-53.7767,23.28,91,23,3.26,GF,1690102985
241,scottburgh,-30.2867,30.7532,22.58,41,4,3.98,ZA,1690103036
242,bulakamba,-6.8748,108.9559,28.47,65,63,1.8,ID,1690103036
243,paracuru,-3.41,-39.0306,23.95,80,73,5.17,BR,1690103037
244,dehri,24.8667,84.1833,38.01,38,72,7.31,IN,1690103038
245,selkirk,50.1436,-96.8845,19.04,66,96,2.21,CA,1690102454
